DayOfYear,DayOfWeek,CRSDepTime,CRSArrTime,DepTime,ArrTime,CRSElapsedTime,ArrDelay,DepDelay,AirTime,Distance,TaxiIn,TaxiOut
0.16986301369863016,0.0,0.714783821478382,0.8385525400139179,0.7241139680333565,0.8436414176511465,0.14380165289256197,0.04428341384863124,0.005857740585774058,0.1097972972972973,0.11418685121107267,0.20238095238095238,0.05945945945945946
0.2301369863013699,0.16666666666666666,0.6311018131101812,0.791927627000696,0.6372480889506601,0.8255733148019457,0.23140495867768596,0.07729468599033817,0.0016736401673640164,0.20101351351351351,0.22654182780378587,0.08333333333333333,0.20810810810810812
0.9342465753424658,0.9999999999999999,0.7705718270571826,0.8789144050104384,0.7762334954829743,0.8728283530229325,0.20661157024793386,0.03140096618357488,0.0016736401673640164,0.17905405405405406,0.1532668430694077,0.07142857142857142,0.051351351351351354
0.9397260273972603,0.16666666666666666,0.8542538354253835,0.9067501739735561,0.8895066018068102,0.946490618485059,0.0743801652892562,0.08454106280193237,0.03765690376569038,0.07432432432432433,0.047018115204559334,0.047619047619047616,0.07027027027027027
0.6602739726027398,0.6666666666666666,0.6868898186889818,0.7299930410577592,0.7324530924252953,0.773453787352328,0.051239669421487596,0.08856682769726248,0.04937238493723849,0.05743243243243243,0.042540199470791774,0.047619047619047616,0.03513513513513514
0.021917808219178082,0.33333333333333337,0.6311018131101812,0.7362560890744607,0.6532314107018763,0.7505211952744961,0.2975206611570248,0.05475040257648953,0.02092050209205021,0.2922297297297297,0.24689599023000205,0.07142857142857142,0.03513513513513514
0.589041095890411,0.9999999999999999,0.50557880055788,0.5970772442588727,0.5232800555941626,0.6101459346768588,0.1652892561983471,0.05314009661835749,0.01506276150627615,0.1554054054054054,0.13189497252188073,0.03571428571428571,0.05945945945945946
0.6520547945205479,0.16666666666666666,0.7426778242677824,0.9171885873347252,0.7797081306462821,0.9409312022237665,0.2644628099173554,0.06602254428341385,0.03933054393305439,0.23648648648648649,0.2359047425198453,0.05952380952380952,0.051351351351351354
0.6821917808219178,0.8333333333333334,0.24755927475592746,0.337508698677801,0.2550382209867964,0.3370396108408617,0.25950413223140495,0.03703703703703704,0.0016736401673640164,0.2533783783783784,0.22552411968247507,0.07142857142857142,0.03783783783783784
0.1452054794520548,0.8333333333333334,0.6903765690376569,0.7571329157967989,0.8019457956914523,0.8714384989576094,0.10743801652892562,0.1706924315619968,0.12887029288702928,0.10641891891891893,0.07205373498880521,0.14285714285714285,0.04594594594594595
0.0,0.16666666666666666,0.5195258019525801,0.7606123869171886,0.5448227936066713,0.7831827658095899,0.32231404958677684,0.06441223832528181,0.02426778242677824,0.3260135135135135,0.34337472013026665,0.03571428571428571,0.051351351351351354
0.5287671232876713,0.8333333333333334,0.5578800557880055,0.7536534446764092,0.5628908964558721,0.7484364141765114,0.21487603305785125,0.032206119162640906,0.0,0.21621621621621623,0.1976389171585589,0.047619047619047616,0.01891891891891892
0.5041095890410959,0.5,0.6171548117154811,0.663187195546277,0.6254343293954134,0.665045170257123,0.05785123966942149,0.040257648953301126,0.004184100418410041,0.060810810810810814,0.03806228373702422,0.047619047619047616,0.024324324324324326
0.589041095890411,0.9999999999999999,0.8221757322175731,0.9554627696590119,0.8498957609451007,0.9589993050729673,0.5636363636363637,0.0426731078904992,0.02845188284518828,0.472972972972973,0.483614899246896,0.07142857142857142,0.11621621621621622
0.14246575342465756,0.6666666666666666,0.49860529986053,0.5483646485734168,0.5441278665740097,0.6025017373175816,0.1652892561983471,0.10064412238325282,0.04853556485355648,0.1722972972972973,0.11662935070221861,0.14285714285714285,0.05945945945945946
0.6986301369863014,0.6666666666666666,0.43235704323570434,0.5560194850382741,0.4496177901320361,0.5649756775538568,0.1421487603305785,0.04830917874396135,0.014225941422594143,0.125,0.11805414207205372,0.08333333333333333,0.04594594594594595
0.21643835616438356,0.5,0.4707112970711297,0.5281837160751566,0.4836692147324531,0.5364836692147325,0.08429752066115703,0.04750402576489533,0.00920502092050209,0.07094594594594594,0.05800936291471606,0.05952380952380952,0.05675675675675676
0.4794520547945206,0.16666666666666666,0.8647140864714086,0.9916492693110648,0.95135510771369,0.08130646282140376,0.4495867768595041,0.143317230273752,0.099581589958159,0.4054054054054055,0.3574190922043558,0.07142857142857142,0.14594594594594595
